"restab.year","restab.heat_days","restab.chill_days"
1946,38,139
1947,60,135
1948,38,141
1949,61,116
1950,69,125
1951,49,141
1952,62,134
1953,64,106
1954,62,118
1955,70,105
1956,59,130
1957,57,132
1958,77,124
1959,39,153
1960,76,119
1961,46,151
1962,54,138
1963,55,130
1964,60,135
1965,79,118
1966,56,133
1967,67,121
1968,61,120
1969,63,129
1970,71,129
1971,48,147
1972,57,137
1973,55,121
1974,53,124
1975,70,109
1976,30,129
1977,31,141
1978,28,164
1979,34,148
1980,50,135
1981,41,139
1982,49,148
1983,55,124
1984,52,146
1985,36,152
1986,28,157
1987,64,122
1988,66,117
1989,70,110
1990,32,136
1991,57,116
1992,63,124
1993,78,116
1994,51,137
1995,45,141
1996,55,132
1997,53,125
1998,72,108
1999,53,136
2000,34,142
2001,59,132
2002,48,133
2003,57,130
2004,40,148
2005,38,155
2006,60,122
2007,63,121
2008,53,131
2009,55,129
2010,30,152
2011,48,144
2012,45,122
2013,79,112
2014,48,141
2015,62,127
2016,21,159
2017,36,141
2018,46,142
2019,55,126
2020,48,119
2021,50,128
