Location,Hardiness Zone,Hardiness Zone Range
Andong-si,Zone 7b,-15°C to -12.2°C
Ansan-si,Zone 7a,-17.8°C to -15°C
Anseong-si,Zone 7a,-17.8°C to -15°C
Anyang-si,Zone 7a,-17.8°C to -15°C
Asan-si,Zone 7b,-15°C to -12.2°C
Boryeong-si,Zone 7b,-15°C to -12.2°C
Bucheon,Zone 7a,-17.8°C to -15°C
Busan,Zone 8b,-9.4°C to -6.7°C
Changwon,Zone 8b,-9.4°C to -6.7°C
Cheonan-si,Zone 7a,-17.8°C to -15°C
Cheongju-si,Zone 7a,-17.8°C to -15°C
Chuncheon-si,Zone 6b,-20.6°C to -17.8°C
Chungju-si,Zone 7a,-17.8°C to -15°C
Daegu,Zone 8a,-12.2°C to -9.4°C
Daejeon,Zone 7b,-15°C to -12.2°C
Dangjin-si,Zone 7b,-15°C to -12.2°C
Dongducheon-si,Zone 7a,-17.8°C to -15°C
Donghae-si,Zone 7b,-15°C to -12.2°C
Gangjin-gun,Zone 8b,-9.4°C to -6.7°C
Gangneung-si,Zone 8a,-12.2°C to -9.4°C
Geoje-si,Zone 8b,-9.4°C to -6.7°C
Gimcheon-si,Zone 7b,-15°C to -12.2°C
Gimhae,Zone 8b,-9.4°C to -6.7°C
Gimje,Zone 8a,-12.2°C to -9.4°C
Gimpo-si,Zone 7a,-17.8°C to -15°C
Gongju-si,Zone 7b,-15°C to -12.2°C
Goyang,Zone 7a,-17.8°C to -15°C
Gumi-si,Zone 8a,-12.2°C to -9.4°C
Gunpo-si,Zone 7a,-17.8°C to -15°C
Gunsan-si,Zone 8a,-12.2°C to -9.4°C
Guri-si,Zone 7a,-17.8°C to -15°C
Gwacheon-si,Zone 7a,-17.8°C to -15°C
Gwangju,Zone 8a,-12.2°C to -9.4°C
Gwangju-si,Zone 7a,-17.8°C to -15°C
Gwangmyeong-si,Zone 7a,-17.8°C to -15°C
Gwangyang-si,Zone 8a,-12.2°C to -9.4°C
Gyeongju-si,Zone 8a,-12.2°C to -9.4°C
Gyeongsan-si,Zone 8a,-12.2°C to -9.4°C
Gyeryong-si,Zone 7b,-15°C to -12.2°C
Hanam-si,Zone 7a,-17.8°C to -15°C
Hwaseong-si,Zone 7a,-17.8°C to -15°C
Icheon-si,Zone 7a,-17.8°C to -15°C
Iksan-si,Zone 8a,-12.2°C to -9.4°C
Incheon,Zone 7b,-15°C to -12.2°C
Jecheon-si,Zone 7a,-17.8°C to -15°C
Jeju-si,Zone 9b,-3.9°C to -1.1°C
Jeongeup-si,Zone 8a,-12.2°C to -9.4°C
Jeonju,Zone 8a,-12.2°C to -9.4°C
Jinju-si,Zone 7b,-15°C to -12.2°C
Miryang,Zone 8a,-12.2°C to -9.4°C
Mokpo-si,Zone 8b,-9.4°C to -6.7°C
Mungyeong-si,Zone 7b,-15°C to -12.2°C
Naju-si,Zone 8a,-12.2°C to -9.4°C
Namwon,Zone 8a,-12.2°C to -9.4°C
Namyangju-si,Zone 7a,-17.8°C to -15°C
Nonsan-si,Zone 7b,-15°C to -12.2°C
Osan,Zone 7a,-17.8°C to -15°C
Paju,Zone 7a,-17.8°C to -15°C
Pocheon-si,Zone 7a,-17.8°C to -15°C
Pohang-si,Zone 8a,-12.2°C to -9.4°C
Pyeongtaek,Zone 7a,-17.8°C to -15°C
Sacheon-si,Zone 8a,-12.2°C to -9.4°C
Samcheok-si,Zone 7b,-15°C to -12.2°C
Sangju-si,Zone 7b,-15°C to -12.2°C
Sejong,Zone 7b,-15°C to -12.2°C
Seongnam-si,Zone 7a,-17.8°C to -15°C
Seosan-si,Zone 7b,-15°C to -12.2°C
Seou;,Zone 7b,-15°C to -12.2°C
Siheung-si,Zone 7a,-17.8°C to -15°C
Sokcho-si,Zone 8a,-12.2°C to -9.4°C
Suncheon-si,Zone 8a,-12.2°C to -9.4°C
Suwon-si,Zone 7a,-17.8°C to -15°C
Taebaek,Zone 6b,-20.6°C to -17.8°C
Tongyeong-si,Zone 8b,-9.4°C to -6.7°C
U;san,Zone 8b,-9.4°C to -6.7°C
Uijeongbu-si,Zone 7a,-17.8°C to -15°C
Uiwang,Zone 7a,-17.8°C to -15°C
Wonju-si,Zone 7a,-17.8°C to -15°C
Yangju,Zone 7a,-17.8°C to -15°C
Yangsan,Zone 8b,-9.4°C to -6.7°C
Yeoju-si,Zone 7a,-17.8°C to -15°C
Yeongcheon-si,Zone 8a,-12.2°C to -9.4°C
Yeongju-si,Zone 7b,-15°C to -12.2°C
Yeosu,Zone 8b,-9.4°C to -6.7°C
Yongin-si,Zone 7a,-17.8°C to -15°C
